,tweet
1651,"At some point, we really need to take the media to task. I feel like whenever there is a glimmer of hope or some positive, they always have to just turn up the negative. We dropped the ball as a country during this, but the media has been awful with their fear mongering"
1654,He is slept on I can have trophies with him
1657,frfr! straight blew my shit.
1658,It doesn't matter what Dak wants..what matters is whether or not McCarthy wants him as a qb...
1659,Never cared abt #psg until tonite. Be a cold day in hell before I cheer for that team of diving classless cheats. #PSGAtalanta #ChampionsLeague
1661,Wilhelm?
1664,Me
1665,You talking shit PAH!
1669,"1. You're going to make an unneeded love triangle
2. White wash the cast or make a brand new white character(s) that have no business being there
3. You're gonna add sex
4. You aren't going to respect the darker tones of the earth kingdom and water tribe 
#ATLA @netflix"
1674,Thank you
1675,Lmaoo I saw this coming. Thank god I cashed out just in time !
1681,The Venn diagram of this is a circle
1684,Atalanta put up a fight. #ChampionsLeague
1688,Cule equipo muerto ese
1689,Do you remember how we deadass used to BEASTTT to play that in the church parking lot? Lmfao
1690,"The racism, the misogyny and the bullshit are off the charts."
1691,I think it's the middle of that Venn diagram there.
1697,Now we just need Neymar to score to sweep these bets
1699,Your pants look hella comfy
1700,thanks  Drive SmartCt and I am with you
1703,that comeback was actually wild
1707,Oddsmakers have it -150 Biden and +125 Trump today
1708,Farmers
1709,Wooowww psg really turned it around in 3 mins ....
1710,lmaoooo
1716,I'm mad about police violence too but I don't think this is the right punishment.
1717,I doubt it unless she has a meaningful amount of her personal wealth invested in the stock market
1718,"First the marlins yesterday, now this"
1719,LMAO
1723,Great News: Biden Harris presentation starting soon! Join history as new leaders make premier appearance!
1724,"@SenBooker @SenKamalaHarris @SpeakerPelosi My husband just lost his job NOW. No extra $600, soon no health insurance. IT DOESN'T MATTER WHAT HE EARNED IN 2019 we have the same amount of ZERO income and bigger bills."
1727,HOW did they just blow that
1728,Wow smh blame the coach for Atalanta for going away from how they played all year
1736,@SenBooker @SpeakerPelosi @KamalaHarris I do not want to hear anything more about only offering economic relief to people who made X in 2019. Those numbers mean NOTHING in 2020. People who are unemployed NOW need help now no matter what they earned before. 1/2
1737,I deadass hate PSG
1740,@blakegriffin23 great interview on @CNBCClosingBell with @SaraEisen   Will check your #podcast
1743,Wow smh
1745,Discovering a politician pushing for reparations has a wealthy slave owner family history certainly is relevant.
1749,Block away. I have never seen anything mean spirited in your posts.
1752,Go away
1753,Yooo!!! What the heck!! Pression pression mal
1758,"Control-C
Control-V
Although he is the President, he manages to hire people who are as lazy as he is"
1759,As you wish.
1766,6 ft
1767,Nice knowing ya Andrew...
1768,Thanks bro!!
1779,"Thanks brother, appreciate the kind words."
1781,Collaborations is what I need rn
1782,No!
1788,"I do yea, really surprised with the line move though. Normally we are able to hit like 75-80% the line moves our way, but this one is surprising to me. I have to assume it's bias on the last fight he had. I bet it again if I'm being honest lol."
1790,Website designer needed .
1793,Hay hambreeeeeee
1794,Omg ur woke
1796,i cant be cute if im white i finally have the ultimate gottem as to why i'm ugly
1797,Catholics should have problems with Biden.
1799,"We could dream, right?"
1801,Hi all just got in. I am tried as hell but a good tired from a good day at work. It feels good to work again. I have already started little by little given back for all that help that have been given to me and my boys. I am not done yet but first have to make sure my boys are ok.
1805,No gordon Bombay?! @DonLagreca @Rosenbergradio
1806,Fight
1812,theres times where im blinded by negative thoughts but ive learned to overcome that.
1813,All I care about is this money
1819,i be feeling like i dont need anyone at all anymore. just wanna thug it out on my own
1832,"Will @Expedia issue a refund at some point ...since it is already 9 months since I purchased the 2 tickets...Money in the bank for someone, not me"
1835,The fans whistling at #Neymar for that dive. Love it. #ATAPSG
1836,Ohio state will be there as soon as they are back.  Pretty safe bet
1842,"When pop smoke said ""If you don't got your nails done, you are not it"" I felt that Bc I feel like a boy without my nails done"
1846,Google Drive
1847,Your @Expedia representative was nice but could not give me any definite answer on what cutoff time would be to use voucher issued...and we still have no clue as to when Europe will welcome US travelers
1860,Thanks very much to #JoseLozano and @ChooseNJ for offering encouraging words to our students as they move toward employment in #NJBusinesses with the experience of addressing #environmental and #sustainability challenges
1865,"Dear @Expedia, I called your customer service line last week regarding Covid cancelled April trip to Rome on @SAS, 2 tickets were purchased in November 2019"
1873,Byeeeeeeeeeeeeeeeeeeeeeeeee
1879,Do I get relief?
1881,I have 9/11 $70 calls
1883,Parang Kanye West at Kim Kardashian bago ikinasal ah. Nasa limelight lagi.
1884,"Gotta get over you
How you got over me"
1886,"There is certainly an argument to be made that it's a good call, but it's always dangerous when you are talking about heaavyweights."
1887,Happy birthday!
1894,My landlord of 2 years after offering me month to month rental at no additional cost tells us that since @GovMurphy has put New Jersey in re-opening phase they can now charge us $250 month to month fee which amounts to more than 10 percent of the whole rent
1895,We are well-funded and well-stocked at Antifa. We can easily procure any Hot Pocket we wish. We will not let hunger interfere with our infiltration missions.
1897,And that dumbass tattoo
1904,Day Vid
1907,Watch everyone buy these stupid looking shoes cause kanye made them.
1908,Let me be in that room.
1910,Film the gecko for an auto insurance ad. Parlay the money into a bigger house for yourself. Give the gecko the existing house as payment. Problem solved.
1911,"@DarceySilva darcey as a guy who's been around a little.
Stop the crying, you will have a lasting relationship,  stop that blubbering"
1914,Niceee cool title !!!
1916,"Sure
Right after the President answers for calling for five innocent teenage boys to be executed by the State of NY"
1920,Tjay and pop never miss
1921,Agreed
1923,I get it. We're frustrated too. But what good is wallowing in the past going to do? Can't change it so you look ahead.
1924,God bless
1927,Trout is on the juice and I absolutely love it.
1936,damn look who's fuckin talking lmao
1938,Too early in the series for this horseshit. Stay out of the box.
1939,Are you an accountant as well?
1946,"i hate wasting my time , honestly"
1948,Snyder does enjoy showcasing the crotch of muscular men.
1950,#Isles #ALLCAPS is already salty. Like it.
1956,Thanks for your take on change during Covid 19... Pondering how to re-orient my concierge business to reflect these changes... Working from home and so on
1957,Smells like cheap vodka nowadays.
1966,Your welcome. Hope you enjoy catching up to the current episode of the series :)
1968,"It took me 3 semesters to decide on a major lol. But what school are you going to, whats ur ideal work environment (field work, in an office, etc.) and how much does money matter to you? Cuz those are all things you need to consider"
1970,Oy oy oy
1971,HUGE if true!
1972,Lmao
1973,"Yeah which could be ""the usual trends"" that can be controversial or was in the legend of Korra and possibly ruin avatar the last airbender"
1976,Is this because we need to trial test first Russia's Sputnik vaccine?
1977,"Although the Cypress was a wise old tree, and had studied many books in its long life, the Tuna would never know, could never know, what lessons the Cypress could impart, yet Zeus decided nevertheless to make damned sure of it."
1983,Your welcome. I only have time for those 5 minutes short versions lol they did make a video about digimon the movie from their podcast
1987,fedex fucking my vibe up today
1988,Chopping spicy peppers and then scratching your nose is highly recommended.
1992,When u step outta ya comfort zone just to be disappointed again... smh
1994,It doesn't matter if you defeat Kevin or not. We at Antifa have placed operatives within your campaign. We have moles on the inside. We will win even if you win.
1995,Happy birthday Lion
1996,2012 was one of the weakest ones only a few hitters on that list
1998,You mean run it into the ground? Why do you think people are fleeing like there is no tomorrow!
2000,Oh my god. I feel like barfing ten seconds into this thing.
2001,So adorable
2011,@plwmpodcast @JanelParrish  was on Bratz: The Movie and she was on Zoey 101 a nickelodeon  show.
2013,I know Neymar missed a couple chances but he makes everything look so simple. He just megged this man like nothing.
2014,I need a new study spot
2015,Disgusting Americans smh... Spanish networks always show the games thank God
2017,"For example Mayor Isko Moreno D. use his city fund set aside for Covid19 to buy vaccine from a country that is neither Russia or China, can he be stop by AITF or the President?"
2019,Hell yeah
2023,Different.
2024,@plwmpodcast Tammin Sursok was on Hannah Montana a disney channel show as Sienna
2025,"Lots of benefits to holding a scrimmage. One, it's done in ""privacy"" of your home environment.Two, Judge can control the tempo and script. And three, they don't have to worry about opponents seeing film on those players the Giants might be hoping to slip onto the practice squad."
2030,Ill never give up believe that!
2031,Love!! Same!!
2033,Good ol rib muscles
2039,@plwmpodcast Now I'm 20 years old
2040,@GovMurphy LET GYMS OPEN AGAIN DAMMIT
2047,@plwmpodcast I was 18-years old when Pretty Little Liars
2048,Donald our transit parking lot is starting to fill up. Please send 1 million more to NJDOT for expansion / glad you are on top of DOT now what about pandemic ?
2049,Wow what a very normal tweet for me! Its fun :)
2052,Soooo cute!!! I look forward to these every day!
2053,if this year is my 808s and Heartbreak that means next year is my MBDTF
2055,Gtfoh that shit fake?
2056,I have never questioned the competence of Trump. That is not to say that I readily criticize his morality and maturity level.
2057,I
2059,Goin back to a more conservative lifestyle after next week lol
2063,cashapp me $15 & i gotchu
2064,@plwmpodcast My favorite best friend team is Sparia
2067,Yup
2069,Ganbaru Goktughan
2075,Me niether but im fairly confident chito is going to wreck the suga show and chito is a big underdog.
2076,He was not really related to the Greek one - but he liked ppl to think that
2081,They can only monitor LGU's but can't dictate what each LGU's on what to do. The Mayors & Governors are elected and the IATF are cabinet members are just appointees.
2083,Can I take her out to eat please?
2085,I would love to join!
2086,How jumps I get for a 100?
2093,@plwmpodcast My favorite team has to be Haleb
2095,"We're hiring in #HasbrouckHeights, NJ! Click the link in our bio to apply to this job and more: Retail Stocking Associate at Harbor Freight Tools #SupplyChain"
2104,"Claro triple hptas y por debajo pagando a las cortes vendidas esas para generar fallos que les favorescan sus intenciones, malparidos violadores, narcotraficantes"
2113,Unrestrained capitalism is going to destroy this country.
2114,@plwmpodcast My mom is my hero
2115,True Detective Season 2 really is the clearest marker here. so much to enjoy with that one that no other show will dare touch again
2117,Hahahahaa no comiense
2118,Weeyy
2119,Everyone needs to stop using the comic sans font on Instagram there I said it
2127,@plwmpodcast I would choose Veronica to be my pll mom
2140,baby pink is my shit !
2141,"@plwmpodcast My favorite liar is Alison, Hanna, and Spencer"
2143,betting big on chito anyone know good ufc betting apps?
2145,Matrimonio**
2148,@JayKillerIshot Down to team irl in pro-wrestling?
2153,"So it turns out that Pence was also ""Mother"", all along."
2154,"Dumbasses: WAP is too oversexualized 

Mystikal: I CAME HERE WITH MY D!CK IN MY HAND!!!!!!"
2155,Entonces un hombre debe quedarse en un matromonio de por vida porque tienen una hija? Toy confuseddd utede son doble moral un rato si
2163,Ambitionz as a Ridah!!!! PAC snapped!!!
2164,"how did you not know, there was always ads on youtube & shit"
2165,paid livestream concerts where the cheaper your ticket the farther they zoom out the screen
2173,"well, alright. you have point"
2174,Hopefully!
2175,@plwmpodcast I was 11-years old when the show started
2181,Bernie Sanders should be the democratic candidate smh
2182,I really wish I had more time to cook because I am really good at it when I have the time to do a real meal
2183,the art of the mog knows no restrictions. it is eternal. it will find a way no matter how much they gang up + bend the rules. this is what I believe!
2186,Shit fill tasty every time is tight!!
2191,I hope she is put in charge of some economic task force to fix the economy.
2192,@VaporFashion hooks it UP! The back of it is even cooler.
2195,I did a Trump makeup video 2 months ago.
2207,Mi cerrador
2208,How about China's mass copying infringements?
2211,need some new earrings
2221,Open borders pedophilia anarcho tyranny
2228,@plwmpodcast I'm drinking lemon water.
2230,Cue Dirty Water
2231,"@plwmpodcast I usually listen on my phone on Apple Podcast. But, I got a new laptop. So I'm listening on my new hp laptop."
2233,Anyone but Fred Flintstone
2239,Do virtual interviews feel different for in-person ?
2241,"Reject immediate gratification in favor of long-term growth, health, or integrity"
2246,I actually love Butterscotch
2254,I really like this move a lot! I think he has a lot of potential!
2256,WTAF
2257,Mortua Alca impennis - in pennis Alca mortua.
2258,@brittneymatras was that another winner for Team Atras keep the Train rolling ROLLING ROLLING good luck great win
2259,I am obsessed with this game
2262,ATALANTA DE MI VIDA ELIMINEN A ESOS CERDOS
2268,Oh Yeah
2269,@HyperScapeGame @Ubisoft please add auto sprint! i love my analog sticks too much to keep pounding them to sprint just for them to have massive controller drift later.
2270,I love it
2271,Not Kanye ass either.
2276,@JeffSmithABC7 what happened to those thunderstorms in north Jersey?
2277,You should tighten the exhaust port...
2278,These delays are annoying. Run the zamboni and drop the puck.
2285,Fitting central heating today. I'm fucked.
2294,Did anyone else start dreaming again during quarantine? And remember parts of them too?
2295,Domingo creo que lo criticable es la forma como se manejan los funcionarios
2298,"USAID funds concentrate assistance to the needs of the country, more so in depressed areas."
2302,This is bullshit. Did your catholic church hold rallies against the Vatican for the mishandling of child abuse cases over the last two decades? Have you set up a website explicitly stating that shuffling predators is unacceptable? Or does this only apply when it's not personal?
2306,Ugh. This is hard to watch.
2309,"Dunno about anybody else but I am absolutely banjaxed after working in that heat today. Time to sit in the garden, drink cider & put the sprinkler on. Its the highlight of this old Codgers day."
2314,I ended my psych class with 101% because math makes sense
2319,Ese ego se lo va a comer con yuca
2321,Meek a faarrreeeakkkkk
2323,thanks for listening!
2334,U just have a big ass knife in ur room
2335,"I'm bi-racial, or as the industry calls me ""italian"""
2336,What does Adam Sandler have to do with Christmas @stevsavage
2337,The Bible...
2342,Lmfaoooooooo no dead ass
2348,I got shitty ankles. Lmfao
2350,Ese tipo no sabe de honor
2351,Whoever drank my core water in my house without asking me count your fucking days.
2358,Diablo
2359,Totally earned. Says so on leg. Or it says anything.
2362,Why are Pisces men like that?...
2367,The Sound of Singing might've done the job as well
2374,Y'all got to stop using the name m4a if it ain't m4a
2377,Still like Biden/Harris over Trump/Pence.
2381,$aniescakecreations maybe today would be a lucky day for us!!! Have a blessed day!!! @pulte
2384,yo i wanna talk shit
2385,PULL UP WITH THE F*CKEN BIRKIN BAG
2386,Shout out to all my niggas trapping living tax free
2387,Siga exigiendo eso en sus medios. Hay que mantener el tema vigente. Lo robado al pueblo hay que devolverlo
2395,Shot by @NickPFilms !!
2396,Inserted sash! Definitely.
2401,Understood
2405,thats not how you spell baby keem
2410,"Yeah most people block or reflect it.  idk why but with Beerus online, I always get it."
2422,PMO
2424,Balloon/ Kites bombing vs Jet bombing? Kids play vs Military?
2426,Rollin some za up..
2427,"#NewerStateNicknames ""Welcome to Arkansas, the Land of One Orthodontist."""
2433,Depressed people be the most manipulative
2440,I just shared the 3rd episode on my page 5 minutes ago :-)
2444,Esa vaina es universal. Siento que llevo 45 horas despierta.
2449,"I am exhausted by the constant fear that every decision I make regarding leaving the house or bringing someone/something into the house could harm or kill my baby and my family. We are not meant to live at this level of constant vigilance. This is why cave men died at 30, y'all."
2450,Lmfao I def was
2452,#candylandxcolourpop
2454,Any form of a burpee
2460,Haha my head is up. I'm telling everyone else to stand down
2465,WHO?
2467,That physical therapy for my back yesterday hurt so much but felt so good
2469,But what does this have to do with shoehorning white characters in a fantasy world based on Asia?
2470,She is way more centered than anything
2471,Yes. I am simply asking fans not to go after others to boost me.
2474,Not using 3/4 badge points for QuickDraw. But using those extra 3-4 badges for hot zone hunter and catch and shoot does.
2476,BET say less
2477,Me!
2478,That heavy ass sigh LOL
2482,He's better than Kaka tho
2483,first I sound crazyyy THEN I b right.
2484,it is what it is
2485,"This was great bc it was less than a half hour for a change. I'm still warm on WK, and the two from Dominion suck"
2487,Wait until he hears how every Canadian pronounces Toronto. His head might explode.
2488,Valeuu mano
2492,"#TrumpIsAnIdiot should hope he is never in a debate with Harris or just in front of cameras together with her, although I would pay money to see that verbal beat down from Harris."
2498,Class act.
2501,@NJSIAA thank you for finally waking up. These kids need sports for their mental health. Happy you realized we can't hold kids hostage and risk mental health and scholarship opportunities. Don't let us down. @SteveRummel @VitoDAlessio60 @DalessioJerry @CGFootballHS
2502,Be grateful for the people that love you in this life.
2506,"Cheguei agora, aonde passa o jogo?"
2511,Can you please post the contact info for test results?
2516,"Since Bryan and Michael are gone I'm assuming the #ATLA live action will end up like @CursedNetflix,bland? @netflix"
2520,Ikr smh
2522,I can't wait for my son to arrive so my family can be complete.
2524,Why is no one scared of ms rona anymore like bitch she can kill us all
2525,"That's okay, I am sure Biden will do that"
2526,"Sittin back jus plotting, schemin, gettin money"
2531,@_nictro good afternoon
2536,The kyrie slander is annoying af smh and this is facts
2537,"@milanicosmetics lip liner in Bordeaux
@christendtweets gloss in strawberry lemonade"
2539,PLSKSNSND
2545,Anyone know any cool places for a photo shoot around Passaic
2546,"If I drove through the state and stopped for gas and food, do it count?"
2549,"current quarantine status: completely upended by junji ito ""layers of fear,"" considering sending to my therapist"
2555,Why are you even here commenting this amazing work? Just got back playing Street Fighter V training wheels where the same combos are seen over and over and over and over and over again where everyone's play styles are exactly the same exactly. Lol
2557,If only u were so generous with your own money
2562,literally right after getting high id do some shit like this
2564,The Grift continues right before our eyes
2570,Twitch so horny rn
2576,FONZIE
2577,Neymar bro holy shit Passaic youth soccer can score that
2588,#MAGA
2590,I hope her raccoon is still doing well
2591,To me it just keeps the idea that animation is less than live action going.
2592,@TLC put this ho on my strange addiction stat
2597,"NJ Heist tryouts tonight are cancelled because of the weather. Please email serg021@aol.com for a personal tryout. Looking for a HS catcher and SS for our futures team. 14 under, Elite and Gold the rosters are full. 12 under has 1 spot left for a non-pitcher or catcher."
2598,Ratatouille is a underrated movie
2601,Having this urge to listen to jersey club all day today
2605,There's a difference between Dickie V and a random dude on twitter.
2607,The obvious superior brain cells
2617,Watching champions league in america has been terrible ever since it left ESPN
2618,Printing machinery. Lede is cool.
2619,THEY WERE GOOD OK THEY TASTED LIKE SMARTIES BUT BETTER
2620,Stephen A asks for the bubble to get some quality content for the playoffs.
2623,My graduation has been a shit show lmao
2628,Up the #Atalanta!! @TheProdigalSean
2636,Lol
2639,Ese muchacho canta pura basura.
2646,Fast time again
2647,You are whole please do a Steely Dan song
2651,They confirmed the the pie chart customization is returning
2654,Are we receiving that 2nd stimulas or nah???
2655,"Fire nation= Japan
Earth Kingdom=China
Water Tribe=Inuit
Air Nomads=Tibet
We dont need to shoehorn white extras or characters in this show we can have a show rich in asian cultures and have an all asian cast"
2656,What's the over/under on Trump going full Kamala birther by end of day?
2658,"Now, benches need to be disinfected/sanitized...#NYIvsWSH will probably face off around 415 ish."
2667,Yes I was a big weirdo as a kid and could eat half the jar by itself
2668,Needs serious professional help
2670,Take
2671,"You're not getting Carlo, lol. B's played their best game today."
2672,"Be a leader, not a manager"
2673,We need better journalism
2674,maybe you could not normalize the destruction of democracy... trump is sabotaging the Postal Service and trying to steal an election...
2679,"Despicable, Jayson Tatum would never"
2681,Hopefully 15 more to go.
2682,Simple just let them play. They are safer on the field then hanging around at parties! #WeWantToPlay @NJSIAA @SteveRummel @VitoDAlessio60 @DalessioJerry
2684,"If we survive the eight years of George W. Bush, we are going to be all right. Although I must say this is the first time that the presidency is actually affecting every day people. No other president has encouraged unsafe practices during a pandemic."
2690,laid ease shave ur head just for this feeling u will not regret it
2696,the feeling of a cold pillow on the freshly shaved parts of my head >>>>>>>>>>>
2697,bro b in his bag fr niggas ant fucking wit him
2699,"Llamen a Cinthia por FT a ver si pudo comer ya, hagan una misa entre los 3"
2701,Indifferent*
2702,"jesus, this is fucked. literally gave me the shivers reading that."
2703,No es para menos
2705,How did that work out for you
2707,sometimes i take a drive through the mountains to remind myself how beautiful and precious life is
2711,The godforsaken trapezoids
2712,"Mark Handelman 
1982-????
Always Hated the Term 'Graps'"
2713,I don't know you or your dog but this made me cry. Been there.
2716,We will remember come next November 2021....Murphy Out!!
2723,You do realize that you can support your country without supporting its military right? For example I am American and I hate the fact that Americans have engaged in war based off of seeking goods.
2738,bitch
2742,Uh uh. Money is from Congress.
2743,They gonna have to really b on that shit they say they on no kizzy lol
2746,I was waking up and Ryan helped push me the rest of the way.
2749,Toronto home of the marathon
2751,I really hate when people talk in a baby voice. Be grown asl too
2752,Same!
2753,"If you think you can see everything that Donald Trump is truly doing, you are truly missed informed. He has agendas to keep the rich rich and the poor poor"
2757,People who post their pay stubs/credit score on social media is a different type of weird.
2762,No your not...Congress is!
2763,This is why US know nothing about football
2767,Who you going to thank? CONGRESS!
2775,Hacker confirmed!
2776,"If jobs with titles like ""Phlebotomist/Patient Service Technician - Floater"" sound appealing to you, follow us to hear about these types of opportunities in #Clifton, NJ. #GeneralScience"
2777,"BTW, you just moved the goalpost AGAIN. You suggested the revolutionary protests had no stealing/looting; I offered evidence otherwise. You then tried saying BLM protesters don't condemn looting; I offered evidence otherwise. Now it's anti-free speech. When is it enough?"
2782,"Once again, thank the Congress."
2783,"Ah, yes, time for the finest content on the internet"
2784,Wackooooo
2786,tehee i kno
2787,Been stuck there for almost 2 years. I like beer too much.
2788,I hope nobody but @Gabperspective has an amazing day today
2792,"Everybody's good at ""gonna be good."" Then it's time to be good ..."
2795,nope
2796,I read that as cock
2797,Thank the Congress
2802,Game*
2803,Stop and Shop has packed their shelves with Goya. Looks like they took other brands out. Hmmmmm.
2818,Same here
2821,"Tesla splitting their stock 5-1.
 @apple splitting theirs. 
Airbnb ipo. 

Great time for traders."
2828,Yeah
2830,i will take one (1) discworld clacks tower (Monstrous Regiment or later)
2833,@bobty2555
2837,"It's really good so far. 10 episodes in and despite people comparing it to the original, it holds it's own as something new while having that OG digimon feel to it. It's basically in 2020 with some cool technology and I don't wanna spoil other stuff. lol watch it on crunchyroll"
2838,Pog
2839,Sign sancho
2841,and worse trade off top prospects
2842,@Buccigross Marchand/Williams #bucciovertimechallenge
2846,In a related story - I'd start at tight end for the Patriots if I had skill and speed and wasn't in my 50s.
2849,Stack or starve
2850,Con el atalanta a muerte !!!!!!
2851,Not tryna be a zoophile doe
2853,My internet at work went out for 4 seconds and I started packing my shit.
2856,That's so fucking hot
2863,Tbt that woman who saw a story about a girl giving her kidney to her lover and a woman was like now THATS friendship!
2865,Anit teaching out to nobody cause I always do the reaching out
2866,"After 2nd one for me, Tom."
2871,Oh wah perhaps sept pal
2873,legit chortled
2874,Hmm no. Good one tho
2881,"ships look alright, the boats look fucked."
2885,Damn that freaking sucks :( @MarcusDigital
2890,To be clear in case it wasnt - this is not about me feeling sad for myself. Someone announces a career milestone. You then at them trying to boost me up at their expense. It seems like support & I appreciate having fans but it really is just rude to that person and annoying to me
2891,@imurfukinguncle
2892,Cleared: Construction on #NJ3 WB from NJ 17 to Park Ave
2893,Cleared: Construction on #NJ17 SB from Moonachie Av to East Union Av
2894,Este los conoce bien cuando andaba con el Eln
2900,Gotta start shopping for baby boy nursery
2904,Aw Sean had food on his face and Finns getting it off what a good friend I love their friendship :)
2905,Don't get me started.
2906,*Checks to see if you can parlay every Toronto bubble game going to multiple overtimes* #NHL
2908,Excited for this studio session today
2909,@joeesufff ayeee lol come over today for a pool day bud
2915,Venga de donde venga maneja la ciudad como una verdulera
2917,Talk all you want but at one of the worst times in US history when strong leadership was so badly needed herr trump ignored  the country and criminally added to the misery by doing nothing. History already has marked him as BY FAR the worst ever
2920,Mario Remasters confirmed?!?!?!?
2921,"Ok seriously, I just got irritated with @lincolnfingroup for tweeting something about taxes right now before I realized it was not @ProjectLincoln I need Covfefe. I mean Coffee!!! See?"
2925,"And there's the obvious racism, of course. But that's his jam. It sometimes usurps the misogyny and sexism."
2932,That rod wave sack right beat so hard
2933,Gran cosa chicho
2934,The loudest one in the room is the weakest one in the room. #Truth #MachoMagat #WearAMask #BidenHarris2020 #Herstory2020
2935,Hell o
2940,Everyone knows Dominican men dont cheat .
2943,Fucking hell.
2946,Meaning? NBC didn't want to broadcast from there?
2947,Phil Swift
2950,Ramona shelbourne is the fucking worst. Slurp fest
2954,"Maybe it's time for a 3rd party? One that cares about the public, while not dabbling in child trafficking, good for the economy, isn't racist, is strong, intelligent & well spoke, has no ties to spies, pushes for education and health reform, doesn't owe any favors. Is that hard?"
2956,euphoria season 2 would cure a lot of my problems rn
2958,Menino Ney
2959,why? omg trash
2961,Thanks!
2962,Virgo Rising :)
2964,@foxnews had @seanhannity reruns.
2965,"First of all that's more than a hole, and hole-y shit, you have hairy legs!"
2971,"I guess I do, lol."
2972,"@HillaryClinton Kamala Harris is because of you, Hillary. I hope all those cracks you put in that glass ceiling break just a little easier for her and all the other women who follow. Thank you for all you have done and will do."
2974,Remember it's always about you.
2980,King
2981,@ONeill3188 @JAMESAPALOOZA
2982,Just not a DeJoy. My apologies. Is it Happy Hour yet? Or 2021?
2983,Thanks for listening!
2987,That story implies that Drumpf will be re-elected. The only sense that comes to mind other than that he's cleaning house before he 'cleans house.' #StayVigilantAmerica
2988,This guy just likes hating on the cowboys
2990,Yo want is going on in the NHL playoffs I swear to god the refs go completely blind during OT
2991,LOL maybe from the ice cream lol
2995,lmao I have so many date ideas
3001,Is that a job now?
3002,hiiiiiii ethaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaan
3003,You keep me around cus you see something in me
3013,Kerk
3014,"Just go and live your imagination in some place else . No empire shall rise nor be slavery , the day will come and there will be no turkey on the map the country of all evils"
3016,"Underrated defenseman, Shawn."
3020,We. Are. Not. Doing. The. Same. Thing. I will be respectful of others efforts but I also wont have my skills and body of work incorrectly compared. Thank you.
3022,"I was at this point, such an amazing memory"
3026,Derecho si pero uno habla de lo que maneja
3027,My FOAT
3030,Nice! Great idea
3031,Black lives matter except the opps
3035,america needs a break from presidents
3036,Yes
3041,$chrisnickys
3042,Perhaps civilized enough for even me to return to concerts.
3049,"Please dont at me in any announcements of other people's success. It looks dickish and if one thing is true about my career I try to avoid success, even in twitter mentions."
3051,"Coca-Cola Coliseum is available, isn't it? #StanleyCupPlayoffs"
3052,Hey sister!
3055,Consistency = enough.
3056,Ok buddy ...
3059,You own a Jeep??? Can I have a ride pls
3061,Very
3065,That's that dumb 2%
3066,Con rabo de paja y criticando la actrizota
3072,"La gente no cambia,
Se comporta bien cuando              quiere conseguir algo!!"
3076,I'm the dude in Collateral that Tom Cruise kills
3081,Absolutely not.
3083,You just attempted to kill this joke tho
3089,"Wow. I missed that. BTW, I think he's Doc's heir apparent. Janesville Jets? How's my guy coach Shuchuk doing?"
3096,What a tool
3098,"Downtown, acme saddle river, shoprite"
3099,Far left?
3104,Everyday  @POTUS @realDonaldTrump cements the fact that he is a racist.
3106,Apparently the health risk is enough of an issue that three of the major football conferences have already cancelled their seasons for fall. And keep in mind teams have management and staff that  could be severely affected. And most linemen would qualify as being high risk.
3107,"No , shroud is one of my fav streams along with doc, ninja and hiko"
3108,"breathe, Ephy, breathe"
3111,It's active voice - the terms themselves WANT to remain concealed. They're shy and demure terms.
3115,Yes sir
3116,2020 is what 2012 was supposed to be
3119,Yasssss
3121,"YESSSS,THEY SHOULD HAVE NEVER RESIGNED HIM!!!"
3123,Stop texting my phone just pull up
3131,LOOOOOOOL
3133,What I do not understand is how indoor dining is closed but schools are opening @GovMurphy??? Make it make sense.
3136,Pathetic musings of a has-been. No one cares what you think. #TrumpIsALaughingStock #BidenHarris2020Landslide
3140,So true!!!!
3142,we miss you too
3145,"BLM isn't a single entity or group. You're referring to Black Lives Matter Chicago, and that was one out of over 500 events. A group that most of the rest denounced as ""counterproductive and damaging."""
3148,Order up!
3154,taqueria for the win.
3156,"that's a 4th OT sentiment, don't be so pushy"
3158,@PikeCountyEagle hey buddy. Hows it going
3168,hopefully this won't be a 5 OT situation again @ephraimgopin. #DejaVu
3171,Polo G got it
3172,No unown or deoxys near me
3175,I need a movie and multiple beers. That's Def happening for me later today.
3177,Mi compa @Bartpittt esta bien?
3179,Oh boi i am fucked Kayne is the worst.
3180,Also that vid where he and his friend tried to convince a mom that her son took pics of her changing and sent the pics to them
3187,Calling Pasta the winner
3191,"Hmmm. Good for radiation treatment, alopecia"
3195,Woooooow this fucking hangover
3196,Lmao
3197,$jtorres1526
3202,"Keeping an eye on my town, but not right now"
3204,The mom videos were the best ones ugh they were all so stupid
3217,Svechnikov #KalmansPickOneYouCowardOTChallenge
3221,Gift sent
3223,Kevin James is Charles Foster Kane in Rosebud: Mall Cop.
3224,jae.bellaaa
3225,So much for individual freedoms to wear a mask if you want to.
3231,@Buccigross #bucciovertimechallenge svechnikov mcavoy
3238,Awesome! Congratulations! I hope it airs 11/1/20 for maximum effect.
3242,Las cosas buenas pasan a quienes las esperan. Las mejores a quienes van por ellas.
3243,You deserve it!!! And so do we!! Congratulations !!!!
3244,Welcome!
3247,10-10 y ya
3252,"Baseball, Frank Turner, good friends"
3254,hi just letting u know that the original did include the NOT!! this is being taken out of context!
